--- Distribuição da Posição-sujeito na Categoria: 'CATEGORIA 1 — VERDADE COMO FUNDAMENTO IDENTITÁRIO, NORMATIVO E EPISTÊMICO DA PROFISSÃO' ---
Total de textos únicos analisados: 128

index,Index,Posição-sujeito / Autor,Quantidade,Porcentagem (%)
1,0_a1,Carlos Alberto Di Franco,3,12.5
2,0_a2,Míriam Leitão,3,12.5
3,0_a3,Cristina Tardáguila,1,4.17
4,0_a4,Fabiana Moraes,1,4.17
5,0_a5,Natália Viana,1,4.17
6,1,1.2.1 Observador-Intérprete (ou Analista),11,45.83
7,1_a1,Cristina Tardáguila,3,12.5
8,1_a2,Carlos Alberto Di Franco,2,8.33
9,1_a3,FB,2,8.33
10,1_a4,Fabiana Moraes,1,4.17
11,1_a5,Januária Cristina Alves,1,4.17
12,1_a6,José Henrique Mariante,1,4.17
13,1_a7,Míriam Leitão,1,4.17
14,2,1.2.5 Mobilizador,1,4.17
15,2_a1,Carlos Alberto Di Franco,1,4.17
16,3,1.2.4 Militante,2,8.33
17,3_a1,Fabiana Moraes,1,4.17
18,3_a2,Natália Viana,1,4.17
19,4,1.2.3 - Crítico-Monitor (ou Cão de Guarda),1,4.17
20,4_a1,José Henrique Mariante,1,4.17

--- Distribuição das Estratégias na Categoria: 'CATEGORIA 2 — VERDADE, SOCIEDADE E DEMOCRACIA' ---
Total de textos únicos analisados: 24
(Nota: A soma das porcentagens pode ultrapassar 100% pois um texto pode conter múltiplas estratégias)

index,Index,Estratégia / Autor,Quantidade,Porcentagem (%)
0,0,2.1 Ethos e fiador,20,83.33
1,0_a1,Carlos Alberto Di Franco,6,25.0
2,0_a2,Míriam Leitão,4,16.67
3,0_a3,Fabiana Moraes,3,12.5
4,0_a4,FB,2,8.33
5,0_a5,Cristina Tardáguila,2,8.33
6,0_a6,Natália Viana,2,8.33
7,0_a7,José Henrique Mariante,1,4.17
8,1,2.3 Polifonia,19,79.17
9,1_a1,Carlos Alberto Di Franco,5,20.83
10,1_a2,Míriam Leitão,4,16.67
11,1_a3,Cristina Tardáguila,3,12.5
12,1_a4,Fabiana Moraes,3,12.5
13,1_a5,FB,2,8.33
14,1_a6,Januária Cristina Alves,1,4.17
15,1_a7,José Henrique Mariante,1,4.17
16,2,2.2 Discurso relatado,22,91.67
17,2_a1,Carlos Alberto Di Franco,4,16.67
18,2_a2,Cristina Tardáguila,4,16.67
19,2_a3,Míriam Leitão,4,16.67
20,2_a4,Fabiana Moraes,3,12.5
21,2_a5,FB,2,8.33
22,2_a6,José Henrique Mariante,2,8.33
23,2_a7,Natália Viana,2,8.33
24,2_a8,Januária Cristina Alves,1,4.17
25,3,2.4 Cenografia,1,4.17
26,3_a1,Carlos Alberto Di Franco,1,4.17
27,4,2.5 Autoridade institucional,9,37.5
28,4_a1,Fabiana Moraes,2,8.33
29,4_a2,José Henrique Mariante,2,8.33
30,4_a3,Natália Viana,2,8.33
31,4_a4,Cristina Tardáguila,1,4.17
32,4_a5,Januária Cristina Alves,1,4.17
33,4_a6,Míriam Leitão,1,4.17

--- Distribuição do Papel do Leitor na Categoria: 'CATEGORIA 2 — VERDADE, SOCIEDADE E DEMOCRACIA' ---
Total de textos únicos analisados: 24

index,Index,Papel do Leitor / Autor,Quantidade,Porcentagem (%)
0,0,3.3 Cidadão,17,70.83
1,0_a1,Míriam Leitão,4,16.67
2,0_a2,Carlos Alberto Di Franco,3,12.5
3,0_a3,Cristina Tardáguila,3,12.5
4,0_a4,FB,2,8.33
5,0_a5,José Henrique Mariante,2,8.33
6,0_a6,Fabiana Moraes,1,4.17
7,0_a7,Januária Cristina Alves,1,4.17
8,0_a8,Natália Viana,1,4.17
9,1,3.6 Público a ser mobilizado,4,16.67
10,1_a1,Carlos Alberto Di Franco,3,12.5
11,1_a2,Fabiana Moraes,1,4.17
